,DATA_SRC,SURFACE_CODE,CYC_TYPE,LAT,LON,CENTRAL_PRES,MAX_WIND_SPD,MAX_REP_WIND_DIR,WIND_COMPASS,CENTRAL_INDEX (CI)
1554,2.0,2.0,40.0,-21.2,117.8,960.0,38.6,0.0,N,4.704307118149952
1555,2.0,2.0,40.0,-21.6,118.0,970.0,33.4,350.0,N,4.226080550428074
1556,2.0,2.0,30.0,-22.1,118.8,975.0,28.3,330.0,NW,3.9634834350840573
1557,2.0,2.0,30.0,-22.4,119.2,980.0,25.7,320.0,NW,3.680562551360306
1558,3.0,5.0,30.0,-15.6,136.9,985.0,20.6,220.0,SW,3.3718918144016174
1559,2.0,1.0,30.0,-18.6,120.6,985.0,25.7,140.0,SE,3.3718918144016174
1560,2.0,1.0,30.0,-19.0,120.0,985.0,25.7,150.0,SE,3.3718918144016174
1561,2.0,1.0,30.0,-19.2,119.7,985.0,25.7,150.0,SE,3.3718918144016174
1562,2.0,1.0,30.0,-19.4,119.2,985.0,25.7,150.0,SE,3.3718918144016174
1563,2.0,1.0,30.0,-19.6,118.8,980.0,28.3,110.0,E,3.680562551360306
1564,2.0,1.0,30.0,-19.8,118.4,975.0,30.9,90.0,E,3.9634834350840573
1565,2.0,1.0,30.0,-20.0,117.8,975.0,30.9,60.0,NE,3.9634834350840573
1566,2.0,1.0,30.0,-20.2,117.1,975.0,30.9,30.0,NE,3.9634834350840573
1567,2.0,1.0,30.0,-20.4,116.7,975.0,30.9,20.0,N,3.9634834350840573
1568,2.0,1.0,30.0,-20.5,116.6,975.0,30.9,80.0,E,3.9634834350840573
1569,2.0,1.0,30.0,-20.8,116.2,975.0,30.9,40.0,NE,3.9634834350840573
1570,2.0,3.0,30.0,-21.1,115.9,980.0,28.3,0.0,N,3.680562551360306
1571,2.0,2.0,30.0,-21.4,115.6,980.0,28.3,350.0,N,3.680562551360306
1572,2.0,2.0,30.0,-21.8,115.4,980.0,28.3,340.0,N,3.680562551360306
1573,2.0,2.0,30.0,-22.3,115.1,980.0,25.7,350.0,N,3.680562551360306
1574,2.0,2.0,30.0,-22.8,114.4,980.0,23.2,110.0,E,3.680562551360306
